ID,Text
train_malayalammale_00017,സ്വൈര ജീവിതം തകര്ക്കാന് വര്ഗീയ തീവ്രവാദികള് നടത്തുന്ന ശ്രമങ്ങളെ അമര്ച്ച ചെയ്യണം
train_malayalammale_00018,സ്വാശ്രയത്തില് കസേര വര്ധിപ്പിക്കല് പ്രായോഗികമല്ല
train_malayalammale_00019,സ്വാമി ജ്യോതിര്മയയുടെ പ്രഭാഷണവും ഇതോടൊപ്പമുണ്ടായിരുന്നു
train_malayalammale_00020,സ്വാധീന ശക്തിയുള്ള മേഖലയാണ് കുഴല് മന്ദം
train_malayalammale_00021,സ്വാതന്ത്ര്യാനന്തര ഭാരതത്തില് നേതൃത്വത്തിലെത്തിയ മന്ത്രിസഭയിലുണ്ടായിരുന്നവര് നല്ല വായനക്കാരും പ്രതിഭകളുമായിരുന്നു
train_malayalammale_00022,സ്വാതന്ത്ര്യം ലഭിച്ചപ്പോള് പ്രധാനമന്ത്രി ആരെന്നു തീരുമാനിക്കല് ആയിരുന്നില്ല
train_malayalammale_00023,സ്വാഗതവും നന്ദിയും പറഞ്ഞു
train_malayalammale_00024,സ്വാഗതവും നന്ദിയും ഒരേയാളാണ് പറഞ്ഞത്
train_malayalammale_00025,സ്വര്‍ണ സമ്പാദ്യ പദ്ധതി അവതരിപ്പിച്ചു
train_malayalammale_00026,സ്വര്‍ണമ് നേടുന്ന ആദ്യത്തെ കളിക്കാരനും ലോകകിരീടം നേടുന്ന ആദ്യ താരവുമാണ്
train_malayalammale_00027,സ്വരാജ് സര്‍വകലാശാലയുടെ കൂടിയാണ്
train_malayalammale_00028,സ്വയം ഭരണാവകാശം നല്കാനുള്ള കേന്ദ്ര സര്‍ക്കാര്‍ തീരുമാനത്തെ പിന്തുണച്ചു കൊണ്ട് രംഗത്തെത്തി
train_malayalammale_00029,സ്വഭാവ വൈശിഷ്ട്യം തലയെടുപ്പ് എന്നിങ്ങനെ ലക്ഷണമൊത്ത ആനകളെ പുഷ്പ വൃഷ്ടിയോടെയാണു ഗ്രാമവാസികള് പന്തലില് വരവേറ്റത്
train_malayalammale_00030,സ്വന്തം ജില്ല ഉള്‍പ്പെടെ അഞ്ചു ജില്ലകളില് നിന്നായി അഞ്ചു നാമ നിര്‍ദ്ദേശ പത്രികകളാണ് സമര്‍പ്പിച്ചിരുന്നത്
train_malayalammale_00031,സ്വദേശം നിര്‍മ്മിതമായ പീരങ്കികളാണ് പരിഗണിക്കപ്പെടുന്നത്
train_malayalammale_00032,സ്വദേശംസ്ഥലത്ത് കൃഷിപ്പണി ചെയ്യുമ്പോള് ഗുണ്ടയും സംഘവും ആടുകളെ കശാപ്പു ചെയ്യുകയായിരുന്നു
train_malayalammale_00033,സ്വദേശം മുപ്പത്തിയൊന്ന് വീടുകളാണ് നിര്‍മ്മിച്ചത്
train_malayalammale_00034,സ്വദേശ പ്രസ്ഥാനത്തിന്റെ ഉടമയുടേതാണ് തകര്‍ന്ന കെട്ടിടം
train_malayalammale_00035,സ്വദേശിയായ വ്യാപാരിയെ കൊല്ലപ്പെട്ട നിലയിലാണ് കണ്ടെത്തിയത്
train_malayalammale_00036,സ്വദേശിയായ വൃദ്ധന് വാഹനം ഇടിച്ച് മരിച്ചു
train_malayalammale_00037,സ്വദേശി വ്യാപാരിയുമായി കുടുംബത്തെ ചേര്‍ത്തു
train_malayalammale_00038,സ്വദേശീയ എട്ടംഗ തീര്‍ഥാടനം സംഘത്തിലെ മുതിര്‍ന്നവര് വാഹനാപകടത്തില് മരിച്ചു
train_malayalammale_00039,സ്വത്തുതര്‍ക്കത്തിന്റെ പേരില് ദളിത് കുടുംബം കൂട്ടക്കൊല ചെയ്യപ്പെട്ടതില് വ്യാപകമായ അക്രമങ്ങള് നടന്നിരുന്നു
train_malayalammale_00040,സ്വകാര്യ സേവന ദാതാക്കളെ പിന്തുണയ്ക്കാന് സര്‍ക്കാര്‍ രംഗത്തെത്തി
